job_id,complaint_id,engineer_id,status,comment
1,22,10,Resolved,This is a comment for job 1
2,16,8,In Progress,This is a comment for job 2
3,33,3,Resolved,This is a comment for job 3
4,3,6,Resolved,This is a comment for job 4
5,3,3,Assigned,This is a comment for job 5
6,26,10,Resolved,This is a comment for job 6
7,7,1,Assigned,This is a comment for job 7
8,15,2,In Progress,This is a comment for job 8
9,46,5,In Progress,This is a comment for job 9
10,49,6,Resolved,This is a comment for job 10
11,27,9,In Progress,This is a comment for job 11
12,34,8,In Progress,This is a comment for job 12
13,40,1,Resolved,This is a comment for job 13
14,2,2,Resolved,This is a comment for job 14
15,45,1,Assigned,This is a comment for job 15
16,9,2,In Progress,This is a comment for job 16
17,10,8,Resolved,This is a comment for job 17
18,25,9,In Progress,This is a comment for job 18
19,37,7,In Progress,This is a comment for job 19
20,10,10,Resolved,This is a comment for job 20
21,24,8,Resolved,This is a comment for job 21
22,16,7,Resolved,This is a comment for job 22
23,1,8,Assigned,This is a comment for job 23
24,14,5,In Progress,This is a comment for job 24
25,24,1,In Progress,This is a comment for job 25
26,10,3,In Progress,This is a comment for job 26
27,42,8,Assigned,This is a comment for job 27
28,5,2,Resolved,This is a comment for job 28
29,23,4,In Progress,This is a comment for job 29
30,12,5,Resolved,This is a comment for job 30
31,50,10,In Progress,This is a comment for job 31
32,43,3,In Progress,This is a comment for job 32
33,10,5,In Progress,This is a comment for job 33
34,48,2,Assigned,This is a comment for job 34
35,44,5,Resolved,This is a comment for job 35
36,41,1,Assigned,This is a comment for job 36
37,26,4,Resolved,This is a comment for job 37
38,14,9,Assigned,This is a comment for job 38
39,31,5,In Progress,This is a comment for job 39
40,22,7,In Progress,This is a comment for job 40
41,49,9,In Progress,This is a comment for job 41
42,1,5,Assigned,This is a comment for job 42
43,4,5,Assigned,This is a comment for job 43
44,6,8,Assigned,This is a comment for job 44
45,42,3,Assigned,This is a comment for job 45
46,9,2,Assigned,This is a comment for job 46
47,11,8,Resolved,This is a comment for job 47
48,9,1,In Progress,This is a comment for job 48
49,46,10,Resolved,This is a comment for job 49
50,9,4,In Progress,This is a comment for job 50
